id,period,duration,depth,steff,srad,slogg,model_snr,ra,dec,disposition,source
1007.01,6.9989206,3.953,2840.0,6596.0,2.7,3.71,1282.0,112.752393,-4.463359,CANDIDATE,tess
10070468,1.68189051,2.992,83.2,5827.0,1.374,4.191,17.4,289.95651,47.02039,CONFIRMED,kepler
10070479,1.758599866,0.2729,237.8,4744.0,0.725,4.606,11.9,289.96161,47.08036,CANDIDATE,kepler
10073672,2.252976718,1.7131,467.9,4039.0,0.559,4.708,21.7,291.23148,47.033932,CANDIDATE,kepler
10074466,35.01190875,2.868,436.7,5872.0,1.153,4.332,34.0,291.53439,47.0425,CONFIRMED,kepler
10074700,365.620697,32.263,27188.0,5273.0,0.768,4.531,671.1,291.62619,47.08123,FALSE POSITIVE,kepler
10075409,360.33012,15.16,1022.0,5054.0,0.74,4.606,12.2,291.90503,47.094929,FALSE POSITIVE,kepler
10079317,236.25776888,3.3549,168.4,6645.0,2.054,3.952,5.3,293.50534,47.018719,FALSE POSITIVE,kepler
10079420,54.54312996,7.03,,,,,,293.54141,47.007912,CANDIDATE,kepler
10079481,330.80879,21.669,274.8,6158.0,1.066,4.382,24.4,293.56528,47.09362,FALSE POSITIVE,kepler
1008.01,2.0483755,2.767,483.0,6858.5,1.57,4.2,,109.382839,13.395219,FALSE POSITIVE,tess
10080248,14.8783945,7.491,322.8,5822.0,0.837,4.557,22.9,293.8656,47.026829,CONFIRMED,kepler
10081899,522.64613,17.77,648.1,3439.0,0.318,4.939,10.5,294.46457,47.045441,FALSE POSITIVE,kepler
10083325,6.13292733,1.561,58.7,5877.0,2.034,3.941,10.0,294.9733,47.015369,CANDIDATE,kepler
10083623,1.278555003,1.4247,1478.0,5636.0,0.827,4.557,93.8,295.08237,47.08625,FALSE POSITIVE,kepler
10089123,134.413808,13.907,206.1,6013.0,1.187,4.37,12.5,296.89828,47.081059,CANDIDATE,kepler
10089911,6.96704926,3.73,213.7,6303.0,3.53,3.595,18.6,297.1243,47.037022,CONFIRMED,kepler
10089911,11.6089351,2.957,199.6,6303.0,3.53,3.595,8.7,297.1243,47.037022,CANDIDATE,kepler
1009.01,1.9600277,2.0065257,1707.6272693,8868.7,,,1456.4246534,111.667845,-24.462111,CANDIDATE,tess
10090151,0.527698548,3.2221,1579.2,5638.0,0.903,4.529,453.3,297.18875,47.093819,FALSE POSITIVE,kepler
10090219,2.28612573,12.408,301.6,6063.0,1.012,4.476,45.3,297.21194,47.027802,FALSE POSITIVE,kepler
10090257,2.28607282,7.82,261.8,4583.0,0.654,4.65,35.9,297.22394,47.025162,FALSE POSITIVE,kepler
10090854,12.63063129,2.212,300.8,5579.0,0.798,4.58,9.5,297.39322,47.011459,CANDIDATE,kepler
10091110,4.218512654,3.62939,23417.0,6185.0,0.991,4.472,699.9,297.46631,47.023232,FALSE POSITIVE,kepler
10091110,8.529991199,3.9954,20084.0,6185.0,0.991,4.472,389.8,297.46631,47.023232,FALSE POSITIVE,kepler
10091257,1.70192371,3.0271,49833.0,5826.0,1.262,4.273,351.1,297.50986,47.054489,FALSE POSITIVE,kepler
10092312,1.096587245,3.0287,541.2,5869.0,0.942,4.513,67.1,297.78775,47.098331,FALSE POSITIVE,kepler
10092312,4.468456599,1.4195,906.7,5869.0,0.942,4.513,39.1,297.78775,47.098331,FALSE POSITIVE,kepler
10093664,1.20693963,6.881,20.0,7331.0,2.041,4.041,24.3,298.20029,47.06292,FALSE POSITIVE,kepler
10094670,22.06402,4.1,388.7,6232.0,1.09,4.432,31.5,298.49329,47.013039,CONFIRMED,kepler
10095484,0.677761275,3.7085,877.9,5699.0,0.853,4.553,120.8,298.71072,47.037449,FALSE POSITIVE,kepler
10095512,3.008602107,4.34296,120270.0,6033.0,1.026,4.398,502.0,298.71655,47.014519,FALSE POSITIVE,kepler
10096697,191.272501,3.064,286.5,5727.0,0.918,4.43,5.8,299.02518,47.079071,FALSE POSITIVE,kepler
10098534,41.81145,2.208,302.0,5593.0,0.812,4.478,5.9,299.58353,47.022888,FALSE POSITIVE,kepler
10098540,286.02266,10.43,1036.0,4368.0,0.637,4.624,9.8,299.58463,47.000771,CANDIDATE,kepler
10098844,35.080928,6.92,100.7,6007.0,1.126,4.353,7.6,299.67587,47.07584,FALSE POSITIVE,kepler
10098844,47.4497134,10.675,206.4,6007.0,1.126,4.353,16.9,299.67587,47.07584,CONFIRMED,kepler
