# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Sun Mar 23 03:48:28 2025
#
# COLUMN epic_id:        EPIC ID
# COLUMN k2_name:        K2 Name
# COLUMN pl_name:        Default Name
#
rowid,epic_id,k2_name,pl_name
156,EPIC 212689874,K2-195 b,K2-195 b
157,EPIC 212689874,K2-195 c,K2-195 c
158,EPIC 212691422,K2-196 b,K2-196 b
159,EPIC 212735333,K2-197 b,K2-197 b
160,EPIC 212768333,K2-198 b,K2-198 b
161,EPIC 212768333,K2-198 c,K2-198 c
162,EPIC 212768333,K2-198 d,K2-198 d
163,EPIC 212779596,K2-199 b,K2-199 b
164,EPIC 212779596,K2-199 c,K2-199 c
165,EPIC 60021410,K2-2 b,HIP 116454 b
166,EPIC 202126852,K2-20 b,HAT-P-56 b
167,EPIC 212828909,K2-200 b,K2-200 b
168,EPIC 216008129,K2-201 b,K2-201 b
169,EPIC 216008129,K2-201 c,K2-201 c
170,,K2-2016-BLG-0005L b,K2-2016-BLG-0005L b
171,EPIC 216405287,K2-202 b,K2-202 b
172,EPIC 220170303,K2-203 b,K2-203 b
173,EPIC 220186645,K2-204 b,K2-204 b
174,EPIC 220211923,K2-205 b,K2-205 b
175,EPIC 220216730,K2-206 b,K2-206 b
176,EPIC 220218012,K2-207 b,K2-207 b
177,EPIC 220225178,K2-208 b,K2-208 b
178,EPIC 220241529,K2-209 b,K2-209 b
179,EPIC 206011691,K2-21 b,K2-21 b
180,EPIC 206011691,K2-21 c,K2-21 c
181,EPIC 220250254,K2-210 b,K2-210 b
182,EPIC 220256496,K2-211 b,K2-211 b
183,EPIC 220321605,K2-212 b,K2-212 b
184,EPIC 220341183,K2-213 b,K2-213 b
185,EPIC 220376054,K2-214 b,K2-214 b
186,EPIC 220471666,K2-215 b,K2-215 b
187,EPIC 220481411,K2-216 b,K2-216 b
188,EPIC 220487418,K2-217 b,K2-217 b
189,EPIC 220503236,K2-218 b,K2-218 b
190,EPIC 220592745,K2-219 b,K2-219 b
191,EPIC 220592745,K2-219 c,K2-219 c
192,EPIC 220592745,K2-219 d,K2-219 d
193,EPIC 201637175,K2-22 b,K2-22 b
194,EPIC 220621788,K2-220 b,K2-220 b
195,EPIC 220650439,K2-221 b,K2-221 b
196,EPIC 220709978,K2-222 b,K2-222 b
197,EPIC 228721452,K2-223 b,K2-223 b
198,EPIC 228721452,K2-223 c,K2-223 c
199,EPIC 228725972,K2-224 b,K2-224 b
200,EPIC 228725972,K2-224 c,K2-224 c
201,EPIC 228734900,K2-225 b,K2-225 b
202,EPIC 228736155,K2-226 b,K2-226 b
203,EPIC 228760097,K2-227 b,K2-227 b
204,EPIC 228798746,K2-228 b,K2-228 b
205,EPIC 228801451,K2-229 b,K2-229 b
206,EPIC 228801451,K2-229 c,K2-229 c
207,EPIC 206103150,K2-23 b,WASP-47 b
208,EPIC 206103150,K2-23 c,WASP-47 c
209,EPIC 206103150,K2-23 d,WASP-47 d
210,EPIC 206103150,K2-23 e,WASP-47 e
211,EPIC 228804845,K2-230 b,K2-230 b
212,EPIC 219800881,K2-231 b,K2-231 b
213,EPIC 247098361,K2-232 b,K2-232 b
214,EPIC 249622103,K2-233 b,K2-233 b
215,EPIC 249622103,K2-233 c,K2-233 c
216,EPIC 249622103,K2-233 d,K2-233 d
217,EPIC 248777106,K2-234 b,HD 89345 b
218,EPIC 228724232,K2-235 b,WASP-107 b
219,EPIC 228724232,K2-235 c,WASP-107 c
220,EPIC 211945201,K2-236 b,EPIC 211945201 b
221,EPIC 229426032,K2-237 b,K2-237 b
222,EPIC 246067459,K2-238 b,K2-238 b
223,EPIC 248545986,K2-239 b,K2-239 b
224,EPIC 248545986,K2-239 c,K2-239 c
225,EPIC 248545986,K2-239 d,K2-239 d
226,EPIC 203771098,K2-24 b,K2-24 b
227,EPIC 203771098,K2-24 c,K2-24 c
228,EPIC 249801827,K2-240 b,K2-240 b
229,EPIC 249801827,K2-240 c,K2-240 c
230,EPIC 201092629,K2-241 b,K2-241 b
231,EPIC 201102594,K2-242 b,K2-242 b
232,EPIC 201166680,K2-243 b,K2-243 b
233,EPIC 201166680,K2-243 c,K2-243 c
234,EPIC 201211526,K2-244 b,K2-244 b
235,EPIC 201357643,K2-245 b,K2-245 b
236,EPIC 201386739,K2-246 b,K2-246 b
237,EPIC 228725791,K2-247 b,K2-247 b
238,EPIC 228725791,K2-247 c,K2-247 c
239,EPIC 228739306,K2-248 b,K2-248 b
240,EPIC 228748383,K2-249 b,K2-249 b
241,EPIC 210490365,K2-25 b,K2-25 b
242,EPIC 228748826,K2-250 b,K2-250 b
243,EPIC 228758778,K2-251 b,K2-251 b
244,EPIC 228763938,K2-252 b,K2-252 b
245,EPIC 228809550,K2-253 b,K2-253 b
246,EPIC 228849382,K2-254 b,K2-254 b
247,EPIC 228849382,K2-254 c,K2-254 c
248,EPIC 228894622,K2-255 b,K2-255 b
249,EPIC 228974324,K2-257 b,K2-257 b
250,EPIC 229017395,K2-258 b,K2-258 b
251,EPIC 229131722,K2-259 b,K2-259 b
252,EPIC 202083828,K2-26 b,K2-26 b
253,EPIC 246911830,K2-260 b,K2-260 b
254,EPIC 201498078,K2-261 b,K2-261 b
255,EPIC 212779563,K2-262 b,Wolf 503 b
256,EPIC 211682544,K2-263 b,K2-263 b
257,EPIC 211964830,K2-264 b,K2-264 b
258,EPIC 211964830,K2-264 c,K2-264 c
259,EPIC 206011496,K2-265 b,K2-265 b
260,EPIC 248435473,K2-266 b,K2-266 b
261,EPIC 248435473,K2-266 c,K2-266 c
262,EPIC 248435473,K2-266 d,K2-266 d
263,EPIC 248435473,K2-266 e,K2-266 e
264,EPIC 246851721,K2-267 b,EPIC 246851721 b
265,EPIC 211413752,K2-268 b,K2-268 b
266,EPIC 211413752,K2-268 c,K2-268 c
267,EPIC 211413752,K2-268 d,K2-268 d
268,EPIC 211413752,K2-268 e,K2-268 e
269,EPIC 211413752,K2-268 f,K2-268 f
270,EPIC 211491383,K2-269 b,K2-269 b
271,EPIC 201546283,K2-27 b,K2-27 b
272,EPIC 211529065,K2-270 b,K2-270 b
273,EPIC 211529065,K2-270 c,K2-270 c
274,EPIC 211713099,K2-271 b,K2-271 b
275,EPIC 211816003,K2-272 b,K2-272 b
276,EPIC 211919004,K2-273 b,K2-273 b
277,EPIC 212008766,K2-274 b,K2-274 b
278,EPIC 212012119,K2-275 b,K2-275 b
279,EPIC 212012119,K2-275 c,K2-275 c
280,EPIC 212130773,K2-276 b,K2-276 b
281,EPIC 212357477,K2-277 b,K2-277 b
282,EPIC 212418133,K2-278 b,K2-278 b
283,EPIC 212782836,K2-279 b,K2-279 b
284,EPIC 206318379,K2-28 b,K2-28 b
285,EPIC 216494238,K2-280 b,K2-280 b
286,EPIC 220522262,K2-281 b,K2-281 b
287,EPIC 220554210,K2-282 b,K2-282 b
288,EPIC 220554210,K2-282 c,EPIC 220554210 c
289,EPIC 220629489,K2-283 b,K2-283 b
290,EPIC 247267267,K2-284 b,K2-284 b
291,EPIC 246471491,K2-285 b,K2-285 b
292,EPIC 246471491,K2-285 c,K2-285 c
293,EPIC 246471491,K2-285 d,K2-285 d
294,EPIC 246471491,K2-285 e,K2-285 e
295,EPIC 249889081,K2-286 b,K2-286 b
296,EPIC 249451861,K2-287 b,K2-287 b
297,EPIC 210693462,K2-288 B b,K2-288 B b
298,EPIC 205686202,K2-289 b,K2-289 b
299,EPIC 211089792,K2-29 b,K2-29 b
300,EPIC 249624646,K2-290 b,K2-290 b
301,EPIC 249624646,K2-290 c,K2-290 c
302,EPIC 247418783,K2-291 b,K2-291 b
303,EPIC 212628254,K2-292 b,K2-292 b
304,EPIC 246151543,K2-293 b,K2-293 b
305,EPIC 246078672,K2-294 b,K2-294 b
306,EPIC 220501947,K2-295 b,K2-295 b
307,EPIC 201238110,K2-296 b,EPIC 201238110 b
308,EPIC 201497682,K2-297 b,EPIC 201497682 b
309,EPIC 201841433,K2-298 b,EPIC 201841433 b
310,EPIC 206024342,K2-299 b,EPIC 206024342 b
311,EPIC 206024342,K2-299 c,EPIC 206024342 c
312,EPIC 206024342,K2-299 d,EPIC 206024342 d
313,EPIC 201367065,K2-3 b,K2-3 b
314,EPIC 201367065,K2-3 c,K2-3 c
315,EPIC 201367065,K2-3 d,K2-3 d
316,EPIC 210957318,K2-30 b,K2-30 b
317,EPIC 206032309,K2-300 b,EPIC 206032309 b
318,EPIC 206042996,K2-301 b,EPIC 206042996 b
319,EPIC 206042996,K2-301 c,EPIC 206042996 c
320,EPIC 206215704,K2-302 b,EPIC 206215704 b
321,EPIC 206317286,K2-303 b,EPIC 206317286 b
322,EPIC 206317286,K2-303 c,EPIC 206317286 c
323,EPIC 212297394,K2-304 b,EPIC 212297394 b
324,EPIC 212297394,K2-304 c,EPIC 212297394 c
325,EPIC 212424622,K2-305 b,EPIC 212424622 b
326,EPIC 212499991,K2-306 b,EPIC 212499991 b
327,EPIC 212587672,K2-307 b,EPIC 212587672 b
328,EPIC 212587672,K2-307 c,EPIC 212587672 c
329,EPIC 246865365,K2-308 b,K2-308 b
330,EPIC 210818897,K2-309 b,V1298 Tau b
331,EPIC 210818897,K2-309 c,V1298 Tau c
332,EPIC 210818897,K2-309 d,V1298 Tau d
333,EPIC 210818897,K2-309 e,V1298 Tau e
334,EPIC 204129699,K2-31 b,K2-31 b
335,EPIC 212737443,K2-310 b,EPIC 212737443 b
336,EPIC 212737443,K2-310 c,EPIC 212737443 c
337,EPIC 248847494,K2-311 b,EPIC 248847494 b
338,EPIC 251279430,K2-312 b,HD 80653 b
339,EPIC 251279430,K2-312 c,K2-312 c
340,EPIC 212048748,K2-313 b,G 9-40 b
341,EPIC 249893012,K2-314 b,EPIC 249893012 b
342,EPIC 249893012,K2-314 c,EPIC 249893012 c
343,EPIC 249893012,K2-314 d,EPIC 249893012 d
344,EPIC 249631677,K2-315 b,K2-315 b
345,EPIC 249384674,K2-316 b,K2-316 b
346,EPIC 249384674,K2-316 c,K2-316 c
347,EPIC 249557502,K2-317 b,K2-317 b
348,EPIC 249826231,K2-318 b,K2-318 b
349,EPIC 201663879,K2-319 b,K2-319 b
350,EPIC 205071984,K2-32 b,K2-32 b
351,EPIC 205071984,K2-32 c,K2-32 c
352,EPIC 205071984,K2-32 d,K2-32 d
353,EPIC 205071984,K2-32 e,K2-32 e
354,EPIC 201796690,K2-320 b,K2-320 b
355,EPIC 248480671,K2-321 b,K2-321 b
356,EPIC 248558190,K2-322 b,K2-322 b
357,EPIC 248616368,K2-323 b,K2-323 b
358,EPIC 248639308,K2-324 b,K2-324 b
359,EPIC 246074965,K2-325 b,K2-325 b
360,EPIC 246472939,K2-326 b,K2-326 b
361,EPIC 201170410,K2-327 b,EPIC 201170410.02
362,EPIC 201757695,K2-328 b,EPIC 201757695.02
363,EPIC 246193072,K2-329 b,K2-329 b
364,EPIC 205117205,K2-33 b,K2-33 b
365,EPIC 211401787,K2-330 b,K2-330 b
366,EPIC 211502222,K2-331 b,K2-331 b
367,EPIC 211502222,K2-331 c,K2-331 c
368,EPIC 211579112,K2-332 b,K2-332 b
369,EPIC 211647930,K2-333 b,K2-333 b
370,EPIC 211730024,K2-334 b,K2-334 b
371,EPIC 211743874,K2-335 b,K2-335 b
372,EPIC 211763214,K2-336 b,K2-336 b
373,EPIC 211770696,K2-337 b,K2-337 b
374,EPIC 211779390,K2-338 b,K2-338 b
375,EPIC 211897691,K2-339 b,K2-339 b
376,EPIC 212110888,K2-34 b,K2-34 b
377,EPIC 211923431,K2-340 b,K2-340 b
378,EPIC 211978988,K2-341 b,K2-341 b
379,EPIC 212058012,K2-342 b,K2-342 b
380,EPIC 212072539,K2-343 b,K2-343 b
381,EPIC 212072539,K2-343 c,K2-343 c
382,EPIC 212081533,K2-344 b,K2-344 b
383,EPIC 212088059,K2-345 b,K2-345 b
384,EPIC 212132195,K2-346 b,K2-346 b
385,EPIC 212161956,K2-347 b,K2-347 b
386,EPIC 212204403,K2-348 b,K2-348 b
387,EPIC 212204403,K2-348 c,K2-348 c
388,EPIC 212420823,K2-349 b,K2-349 b
389,EPIC 201549860,K2-35 b,K2-35 b
390,EPIC 201549860,K2-35 c,K2-35 c
391,EPIC 212440430,K2-350 b,K2-350 b
392,EPIC 212440430,K2-350 c,K2-350 c
393,EPIC 212543933,K2-351 b,K2-351 b
394,EPIC 251319382,K2-352 b,K2-352 b
395,EPIC 251319382,K2-352 c,K2-352 c
396,EPIC 251319382,K2-352 d,K2-352 d
397,EPIC 251554286,K2-353 b,K2-353 b
398,EPIC 211314705,K2-354 b,K2-354 b
399,EPIC 211525753,K2-355 b,K2-355 b
400,EPIC 211537087,K2-356 b,K2-356 b
401,EPIC 211730267,K2-357 b,K2-357 b
402,EPIC 211914998,K2-358 b,K2-358 b
403,EPIC 201427007,K2-359 b,EPIC 201427007 b
404,EPIC 201713348,K2-36 b,K2-36 b
405,EPIC 201713348,K2-36 c,K2-36 c
406,EPIC 201595106,K2-360 b,EPIC 201595106 b
407,EPIC 201595106,K2-360 c,K2-360 c
408,EPIC 212624936,K2-361 b,EPIC 212624936 b
409,EPIC 212624936,K2-361 c,EPIC 212624936 c
